svm_accuracy,knn_accuracy,perplexity,val_perplexity,mean_abs_corr_off_diagonal,mean_abs_cos_sim_off_diagonal,val_loss,training_time,run_id
0.9155,0.702,19.89232063293457,19.154081344604492,0.283258855342865,0.28458741307258606,0.1999603658914566,3161.523029565811,qt227sq1
0.87875,0.58325,18.746675491333008,18.270957946777344,0.27095985412597656,0.2727963328361511,0.2208523154258728,2967.0112719535828,z5vea0gi
0.907,0.64675,19.574256896972656,18.954771041870117,0.29295310378074646,0.29217270016670227,0.2291976511478424,3930.442816257477,bu718o7l
0.905,0.63075,20.02816390991211,19.825841903686523,0.33097323775291443,0.3334731459617615,0.2048848271369934,2220.380583047867,z726zgas
