kurtosis,coverage,entropy,FID,IS_mean,prior_loss,IS_std,skewness,variety (Gini),run_id
,,,,,,,,,w98su28p
,,,,,18.088510513305664,,,,w98su28p
,,,,,35.20475387573242,,,,w98su28p
,,,,,11.695987701416016,,,,w98su28p
,,,,,13.70595645904541,,,,w98su28p
,,,,,9.903593063354492,,,,w98su28p
,,,,,15.13725757598877,,,,w98su28p
,,,,,15.454051971435547,,,,w98su28p
,,,,,4.269251346588135,,,,w98su28p
,,,,,4.723957538604736,,,,w98su28p
,,,,,5.407991886138916,,,,w98su28p
,,,,,5.942453384399414,,,,w98su28p
,,,,,4.381959438323975,,,,w98su28p
,,,,,4.0698466300964355,,,,w98su28p
,,,,,3.6871187686920166,,,,w98su28p
,,,,,3.4702770709991455,,,,w98su28p
,,,,,3.4477803707122803,,,,w98su28p
,,,,,3.637143850326538,,,,w98su28p
,,,,,3.4476492404937744,,,,w98su28p
,,,,,3.3543710708618164,,,,w98su28p
,,,,,3.7454447746276855,,,,w98su28p
,,,,,3.42117977142334,,,,w98su28p
,,,,,3.2026140689849854,,,,w98su28p
,,,,,3.107196092605591,,,,w98su28p
,,,,,3.1735100746154785,,,,w98su28p
,,,,,3.0322771072387695,,,,w98su28p
,,,,,3.1727144718170166,,,,w98su28p
,,,,,3.2372686862945557,,,,w98su28p
,,,,,3.011913299560547,,,,w98su28p
,,,,,2.9128730297088623,,,,w98su28p
,,,,,3.201215982437134,,,,w98su28p
,,,,,3.2419073581695557,,,,w98su28p
,,,,,2.8269269466400146,,,,w98su28p
,,,,,2.962439775466919,,,,w98su28p
,,,,,2.772510528564453,,,,w98su28p
,,,,,2.7717976570129395,,,,w98su28p
,,,,,,,,,w98su28p
,,,,,2.657975196838379,,,,w98su28p
,,,,,2.818629264831543,,,,w98su28p
,,,,,2.7310574054718018,,,,w98su28p
,,,,,2.852015495300293,,,,w98su28p
,,,,,2.76027774810791,,,,w98su28p
,,,,,2.4690804481506348,,,,w98su28p
,,,,,3.0916621685028076,,,,w98su28p
,,,,,2.733039140701294,,,,w98su28p
,,,,,2.6169233322143555,,,,w98su28p
