lr-AdamW/pg1,lr-AdamW/pg2,step
0.001,0.001,0
9.607359798384784e-06,9.607359798384784e-06,29
0.0009619397662556433,0.0009619397662556433,58
8.426519384872751e-05,8.426519384872751e-05,87
0.000853553390593273,0.000853553390593273,116
0.00022221488349019911,0.00022221488349019911,145
